"subjectIDs","rho","lambda","mu","rhoSE","lambdaSE","muSE"
1,1.42528796915223,1.25282170643092,37.7480268821935,0.149981597801418,0.183735135157993,7.88944811663681
7,1.67198289431767,0.929954398470086,28.1965467787389,0.285415857754752,0.292524524205441,7.53878142821623
8,0.82583198875988,1.10012467730603,19.854512761811,0.0796374916199203,0.131334977305277,4.12797630690945
9,1.20908534680509,2.08895812869055,20.4462186890579,0.143914175818475,0.319714480392491,4.49356117664113
18,1.06731565188537,1.86827103913588,8.16983205861833,0.272640045384168,0.516508842083757,2.65972909715377
19,0.848940947688565,2.17105297586428,18.2709531440426,0.0885311500802559,0.241820060977846,4.18260044976727
22,0.733573524709442,2.60259735061333,28.2336474522195,0.0605666231806832,0.245800680119661,6.24980673500622
23,0.659819346008396,0.284707371707064,10.9597812881565,0.138145824933948,0.258109972827257,3.41625363543211
24,0.943065281582262,0.727833731503527,29.3098407981016,0.0675728056873784,0.113445671444621,5.58343038677973
26,1.40029168999971,1.39766721201171,11.0847268250295,0.249958087730686,0.459138058224838,3.24303302663401
27,1.21099044359672,0.393796971305022,14.7454876411054,0.172756291954298,0.271344601805867,3.63814548549105
