"subjectIDs","rho","lambda","mu","rhoSE","lambdaSE","muSE"
1,1.42528826549414,1.25282176204562,37.748067326259,0.149981653194842,0.183735071850754,7.88945765694377
7,1.67198345190177,0.929954466137152,28.1965563323798,0.285416128860663,0.292524670237714,7.5387870043255
8,0.825832532388747,1.10012473288936,19.8545303282927,0.079637481783216,0.131334994440939,4.12797781914885
9,1.20908510483503,2.08895871601692,20.4462356475901,0.143914055020909,0.319714459653128,4.49356493734004
18,1.06731559992704,1.86827066265682,8.16983416924849,0.272639961460808,0.516508500310969,2.65972937605313
19,0.848941270352234,2.17105185747656,18.271017460903,0.0885309794185451,0.241819305310027,4.1826105187896
22,0.733573415620476,2.60259613544131,28.2335554732268,0.0605666946808983,0.245800643949193,6.24977823687962
23,0.659819835555202,0.284706443951518,10.9597716483533,0.138145780813109,0.258110210222087,3.41624470695859
24,0.943065331915503,0.727833863477691,29.3098684276963,0.0675727708649793,0.113445612467761,5.58343564925842
26,1.40029166558162,1.39766648408609,11.0847243587172,0.249958110019833,0.459138004260921,3.24303244053375
27,1.21099006728996,0.393798463198466,14.7455034345717,0.172756091545915,0.271343934058013,3.63814724368653
