"subjectIDs","rho","lambda","mu","rhoSE","lambdaSE","muSE"
1,1.42528816955466,1.25282121708284,37.7480501953678,0.149981639199555,0.183735069472501,7.88945398419953
7,1.67198359297553,0.929954288478118,28.1965660824036,0.285416236037399,0.292524679711763,7.53879183049179
8,0.825832559364311,1.10012474397324,19.8545211163927,0.0796375052428886,0.131335037556926,4.12797577137257
9,1.20908447905204,2.08895728212104,20.4462160170235,0.143913924680106,0.319714003241561,4.49356125574194
18,1.06731396366003,1.86826880208686,8.16983682741162,0.272639127859461,0.516506505446778,2.65973042620166
19,0.848941939088841,2.17105339196133,18.2709611599714,0.0885312162459395,0.241820223597588,4.18259721551137
22,0.733572882399517,2.6025960707858,28.2336206877121,0.0605666742014591,0.245800575571882,6.24980700792122
