"subjectIDs","rho","lambda","mu","rhoSE","lambdaSE","muSE"
1,1.42528808854517,1.2528212387662,37.7480264779022,0.149981633739855,0.183735129863505,7.88944835828597
7,1.67198258818299,0.929954854591031,28.1965404664422,0.285415668420164,0.292524452354241,7.53877728839723
8,0.82583269122576,1.10012484954157,19.8545325528998,0.079637485422772,0.131335008016323,4.12797750746574
9,1.20908468849272,2.08895830960086,20.446229877504,0.143913948754139,0.319714270785228,4.49356420994892
18,1.06731441886196,1.86826881489998,8.16983927322514,0.272639269252035,0.516506619090491,2.65973051672838
19,0.848942021180097,2.17105596099447,18.2709538891307,0.0885312608903344,0.241821069527973,4.18260033718227
22,0.733573805157743,2.60259702837278,28.2336395384554,0.0605666071441588,0.245800527032452,6.2497977196441
23,0.659818883553746,0.284708232785241,10.9597674810355,0.138145825135435,0.258109468945939,3.41624522759013
24,0.943064892562338,0.72783309933281,29.309825379396,0.0675727981121636,0.113445718435429,5.58343237189807
26,1.40029175483266,1.39766656912743,11.0847279551099,0.24995809990361,0.459137950721067,3.2430330833728
27,1.21099021897036,0.393797550537722,14.7454909962137,0.172756211383855,0.271344360062219,3.63814571635101
29,0.85998945768242,2.64430190287696,11.3824916017785,0.117704942615628,0.495218018882869,3.17174855486952
30,1.36064087759007,2.38991875512924,33.4891221130079,0.141846473686774,0.343951007289329,6.93658886072795
